signature_name	Log2_FC	Mean_Expression	P_value	FDR	Number_of_Genes	MSigDB_Collection
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	12.351760317212673	2166.6761235515055	8.965908795200434e-5	0.8128463798094175	11	c2 Reactome
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	12.21568514846498	2583.9507362932427	2.9399202334988146e-4	0.8128463798094175	10	c2 Reactome
GOBP_GLUTATHIONE_CATABOLIC_PROCESS	9.284936423571594	-253.9738762000454	3.0927224694927817e-4	0.8128463798094175	11	c5 GO Biological Process
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	7.2725671742324005	1891.5225503863358	4.7269868630455964e-4	0.8128463798094175	72	c2 Reactome
GOBP_MESODERMAL_CELL_DIFFERENTIATION	6.180140800992177	490.16942936833345	4.902944233307514e-4	0.8128463798094175	34	c5 GO Biological Process
GOBP_EPITHELIAL_FLUID_TRANSPORT	16.950530492262278	1355.3830931980406	5.866821635447131e-4	0.8128463798094175	11	c5 GO Biological Process
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	2.938998894657514	615.8194758203974	7.711415368196649e-4	0.8128463798094175	183	c5 GO Molecular Function
GOBP_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	-6.233203866066707	1121.7510469259053	9.02083572076906e-4	0.8128463798094175	39	c5 GO Biological Process
GOMF_OMEGA_PEPTIDASE_ACTIVITY	9.263293615749767	-1189.970606009278	9.398223199335109e-4	0.8128463798094175	18	c5 GO Molecular Function
GOBP_GLIAL_CELL_DEVELOPMENT	3.145582442131742	602.7509638332705	9.484758600382799e-4	0.8128463798094175	122	c5 GO Biological Process
REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION	6.359088139380973	-95.25892922813412	0.0011188633754989194	0.8128463798094175	61	c2 Reactome
GOBP_OLIGODENDROCYTE_DEVELOPMENT	6.091432982997833	38.482145548783514	0.0011498907474061335	0.8128463798094175	48	c5 GO Biological Process
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	6.6527735810985735	-190.5308094657729	0.0011826167687613665	0.8128463798094175	26	c2 Reactome
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	4.094673475692165	647.1518081305061	0.001474979694305939	0.8128463798094175	96	c5 GO Biological Process
